1,2017-07-01 00,150.0
1,2017-07-01 01,114.0
1,2017-07-01 02,111.0
1,2017-07-01 03,91.0
1,2017-07-01 04,87.0
1,2017-07-01 05,134.0
1,2017-07-01 06,194.0
1,2017-07-01 07,271.0
1,2017-07-01 08,313.0
1,2017-07-01 09,366.0
1,2017-07-01 10,347.0
1,2017-07-01 11,561.0
1,2017-07-01 12,465.0
1,2017-07-01 13,340.0
1,2017-07-01 14,327.0
1,2017-07-01 15,244.0
1,2017-07-01 16,293.0
1,2017-07-01 17,259.0
1,2017-07-01 18,554.0
1,2017-07-01 19,432.0
1,2017-07-01 20,389.0
1,2017-07-01 21,422.0
1,2017-07-01 22,286.0
1,2017-07-01 23,130.0
1,2017-07-02 00,99.0
1,2017-07-02 01,82.0
1,2017-07-02 02,43.0
1,2017-07-02 03,110.0
1,2017-07-02 04,112.0
1,2017-07-02 05,117.0
1,2017-07-02 06,142.0
1,2017-07-02 07,261.0
1,2017-07-02 08,417.0
1,2017-07-02 09,425.0
1,2017-07-02 10,324.0
1,2017-07-02 11,514.0
1,2017-07-02 12,500.0
1,2017-07-02 13,393.0
1,2017-07-02 14,316.0
1,2017-07-02 15,284.0
1,2017-07-02 16,325.0
1,2017-07-02 17,579.0
1,2017-07-02 18,545.0
1,2017-07-02 19,545.0
1,2017-07-02 20,356.0
1,2017-07-02 21,411.0
1,2017-07-02 22,360.0
1,2017-07-02 23,267.0
1,2017-07-03 00,148.0
1,2017-07-03 01,97.0
1,2017-07-03 02,114.0
1,2017-07-03 03,122.0
1,2017-07-03 04,93.0
1,2017-07-03 05,135.0
1,2017-07-03 06,199.0
1,2017-07-03 07,451.0
1,2017-07-03 08,581.0
1,2017-07-03 09,455.0
1,2017-07-03 10,404.0
1,2017-07-03 11,470.0
1,2017-07-03 12,482.0
1,2017-07-03 13,524.0
1,2017-07-03 14,323.0
1,2017-07-03 15,284.0
1,2017-07-03 16,355.0
1,2017-07-03 17,602.0
1,2017-07-03 18,546.0
1,2017-07-03 19,374.0
1,2017-07-03 20,389.0
1,2017-07-03 21,429.0
1,2017-07-03 22,365.0
1,2017-07-03 23,201.0
1,2017-07-04 00,125.0
1,2017-07-04 01,99.0
1,2017-07-04 02,114.0
1,2017-07-04 03,105.0
1,2017-07-04 04,104.0
1,2017-07-04 05,145.0
1,2017-07-04 06,114.0
1,2017-07-04 07,390.0
1,2017-07-04 08,593.0
1,2017-07-04 09,576.0
1,2017-07-04 10,293.0
1,2017-07-04 11,411.0
1,2017-07-04 12,514.0
1,2017-07-04 13,546.0
1,2017-07-04 14,264.0
1,2017-07-04 15,204.0
1,2017-07-04 16,22.0
1,2017-07-04 17,43.0
1,2017-07-04 18,51.0
1,2017-07-04 19,75.0
1,2017-07-04 20,35.0
1,2017-07-04 21,21.0
1,2017-07-04 22,84.0
1,2017-07-04 23,236.0
1,2017-07-05 00,192.0
1,2017-07-05 01,110.0
1,2017-07-05 02,109.0
1,2017-07-05 03,108.0
1,2017-07-05 04,109.0
1,2017-07-05 05,94.0
1,2017-07-05 06,152.0
1,2017-07-05 07,396.0
